Question,Subset,Set,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
Please rate how much you agree with the content and the organisation of the following sections of the system|Main structure| Core set,Main structure, Core set,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree
Please rate how much you agree with the content and the organisation of the following sections of the system|Contact type| Core set,Contact type, Core set,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree
Please rate how much you agree with the content and the organisation of the following sections of the system|Physical activity| Core set,Physical activity, Core set,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,,Strongly agree,Agree
Please rate how much you agree with the content and the organisation of the following sections of the system|Ball situation| Core set,Ball situation, Core set,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,,Agree,Strongly agree
Please rate how much you agree with the content and the organisation of the following sections of the system|Session detail| Core set,Session detail, Core set,Agree,Agree,Agree,Strongly agree,Neither agree nor disagree,Strongly agree,Agree,Neither agree nor disagree,Agree,Agree
Please rate how much you agree with the content and the organisation of the following sections of the system|Contextual information| Core set,Contextual information, Core set,Agree,Agree,Agree,Strongly agree,,Strongly agree,Agree,,Agree,Strongly agree
Please rate how much you agree with the content and the organisation of the following sections of the system|Main structure|Additional information,Main structure,Additional information,Strongly agree,Agree,,Strongly agree,Strongly agree,,Agree,,Agree,
Please rate how much you agree with the content and the organisation of the following sections of the system|Contact type|Additional information,Contact type,Additional information,Strongly agree,Agree,,Strongly agree,Strongly agree,Agree,Agree,,Strongly agree,
Please rate how much you agree with the content and the organisation of the following sections of the system|Physical activity|Additional information,Physical activity,Additional information,Agree,Agree,,Strongly agree,Strongly agree,Agree,Agree,,Strongly agree,
Please rate how much you agree with the content and the organisation of the following sections of the system|Ball situation|Additional information,Ball situation,Additional information,Agree,Agree,,Strongly agree,Agree,Agree,Agree,,Agree,
