Question,Subset,Set,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
Please rate how much you agree with the content and the organisation of the following sections of the system,Main structure, Core set,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree
Please rate how much you agree with the content and the organisation of the following sections of the system,Contact type, Core set,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree
Please rate how much you agree with the content and the organisation of the following sections of the system,Physical activity, Core set,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,,Strongly agree,Agree
Please rate how much you agree with the content and the organisation of the following sections of the system,Ball situation, Core set,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,,Agree,Strongly agree
Please rate how much you agree with the content and the organisation of the following sections of the system,Session detail, Core set,Agree,Agree,Agree,Strongly agree,Neither agree nor disagree,Strongly agree,Agree,Neither agree nor disagree,Agree,Agree
Please rate how much you agree with the content and the organisation of the following sections of the system,Contextual information, Core set,Agree,Agree,Agree,Strongly agree,,Strongly agree,Agree,,Agree,Strongly agree
Please rate how much you agree with the content and the organisation of the following sections of the system,Main structure,Additional information,Strongly agree,Agree,,Strongly agree,Strongly agree,,Agree,,Agree,
Please rate how much you agree with the content and the organisation of the following sections of the system,Contact type,Additional information,Strongly agree,Agree,,Strongly agree,Strongly agree,Agree,Agree,,Strongly agree,
Please rate how much you agree with the content and the organisation of the following sections of the system,Physical activity,Additional information,Agree,Agree,,Strongly agree,Strongly agree,Agree,Agree,,Strongly agree,
Please rate how much you agree with the content and the organisation of the following sections of the system,Ball situation,Additional information,Agree,Agree,,Strongly agree,Agree,Agree,Agree,,Agree,
Please rate how much you agree with the content and the organisation of the following sections of the system,Session detail,Additional information,Neither agree nor disagree,Agree,,Strongly agree,Agree,Neither agree nor disagree,Agree,,Agree,
Please rate how much you agree with the content and the organisation of the following sections of the system,Contextual information,Additional information,Neither agree nor disagree,Agree,,Strongly agree,Neither agree nor disagree,Agree,Agree,,Agree,
 How important is including the following information when reporting injury mechanisms in football ? ,Contact type, Core set,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely
 How important is including the following information when reporting injury mechanisms in football ? ,Physical activity, Core set,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Moderately
 How important is including the following information when reporting injury mechanisms in football ? ,Ball situation, Core set,Extremely,Moderately,Extremely,Extremely,Neutral,Extremely,Extremely,Neutral,Extremely,Moderately
 How important is including the following information when reporting injury mechanisms in football ? ,Session detail, Core set,Moderately,Moderately,Moderately,Extremely,Moderately,Extremely,Extremely,Not at all,Moderately,Extremely
 How important is including the following information when reporting injury mechanisms in football ? ,Contextual information, Core set,Neutral,Moderately,Moderately,Moderately,Neutral,Extremely,Moderately,,Extremely,Moderately
 How important is including the following information when reporting injury mechanisms in football ? ,Contact type,Additional information,,Extremely,,Extremely,Extremely,Moderately,Moderately,,Extremely,
 How important is including the following information when reporting injury mechanisms in football ? ,Physical activity,Additional information,Extremely,Extremely,,Extremely,Extremely,Moderately,Moderately,,Extremely,
 How important is including the following information when reporting injury mechanisms in football ? ,Ball situation,Additional information,Moderately,Moderately,,Extremely,Extremely,Moderately,Moderately,Neutral,Extremely,
 How important is including the following information when reporting injury mechanisms in football ? ,Session detail,Additional information,Neutral,Moderately,,Extremely,Moderately,Neutral,Moderately,Extremely,Moderately,
 How important is including the following information when reporting injury mechanisms in football ? ,Contextual information,Additional information,Neutral,Moderately,,Moderately,Neutral,Neutral,Neutral,Extremely,Extremely,
Do you have further feedback on the importance of each section?,,,,no,,"I am not so sure about the value of ""player location on the pitch"". 
As well in contextual information perhaps to mention the part of the season (early in the season september october or late, end stage with cumule of a lot of fatigue around april may).",No further feedback,No,"Generally, the more information the better, but this needs to be weighed up against the time, equipment and staffing costs of analysing injuries in this detail. So I think it's really important to have the core information, and the additional information is a bonus (perhaps more feasible in professional environments)","Session detail and context might be added after as they are more objective than some of the movement based decisions. i.e. trying to only use the 'expert' where they are needed, and having the additional information added by someone who does not need such expertise.

Ball situation - hard to determine if need to be core or additional. I'm on the fence.",I strongly believe that the contextual information is very important for mechanism reporting.,no
Please rate the clarity of each section,Main structure, Core set,Excellent,Very good,Very good,Excellent,Excellent,Excellent,Very good,Excellent,Very good,Excellent
Please rate the clarity of each section,Contact type, Core set,Excellent,Very good,Very good,Excellent,Excellent,Excellent,Very good,Fair,Very good,Excellent
Please rate the clarity of each section,Physical activity, Core set,Excellent,Very good,Very good,Excellent,Excellent,Excellent,Very good,Excellent,Good,Very good
Please rate the clarity of each section,Ball situation, Core set,Excellent,Very good,Very good,Very good,Excellent,Excellent,Very good,Good,Good,Excellent
Please rate the clarity of each section,Session detail, Core set,Excellent,Very good,Very good,Excellent,Very good,Excellent,,Excellent,Good,Very good
Please rate the clarity of each section,Contextual information, Core set,Excellent,Very good,Very good,Very good,,Excellent,Very good,,Very good,Excellent
Please rate the clarity of each section,Main structure,Additional information,Excellent,Very good,,Excellent,Excellent,Fair,Good,,Very good,
Please rate the clarity of each section,Contact type,Additional information,Excellent,Very good,,Excellent,Excellent,Excellent,Good,Fair,Very good,
Please rate the clarity of each section,Physical activity,Additional information,Excellent,Very good,,Excellent,Excellent,Very good,Fair,Good,Good,
Please rate the clarity of each section,Ball situation,Additional information,Excellent,Very good,,Very good,Good,Excellent,Good,Poor,Good,
Please rate the clarity of each section,Session detail,Additional information,Excellent,Very good,,Excellent,Very good,Fair,Good,Very good,Good,
Please rate the clarity of each section,Contextual information,Additional information,Excellent,Very good,,Very good,Good,Fair,Good,Very good,Very good,
Which parts of the sections need to be revised to improve clarity?,,,,,,"Perhaps hard to know/see about the player attention. 
Regarding Core set/ 1/information collected : Is it at the present moment (during the game or training) or later on? It perhaps need clarity about the moment of collect of data. If it is during the game, we can perhaps add teammate or even referee.",,The parts rated with,"In the additional information section, more guidance/training would be necessary, as certain factors such as ""intensity"" could be difficult to define. Perhaps a number of video examples need to be provided to illustrate how each point should be interpreted.","From the video clip it is difficult to judge pitch condition etc. This may need a response option for 'not applicable'

Description of contact type (from pdf) - should contact type have a ""No Contact"" box?

I find it hard to judge the intensity - might just be me",Comments above are related to this.,Injury could be a complex mechanism. Is it possible to choose multiple?
How difficult would it be to collect information on each section in football environment ?,Contact type, Core set,Very easy,Easy,Easy,Very easy,Very easy,Very easy,Easy,Very easy,Very easy,Easy
How difficult would it be to collect information on each section in football environment ?,Physical activity, Core set,Very easy,Easy,Neutral,Very easy,Very easy,Very easy,Easy,Very easy,Easy,Easy
How difficult would it be to collect information on each section in football environment ?,Ball situation, Core set,Very easy,Easy,Neutral,Very easy,Very easy,Very easy,Easy,Easy,Neutral,Very easy
How difficult would it be to collect information on each section in football environment ?,Session detail, Core set,Very easy,Very easy,Easy,Very easy,Easy,Very easy,Easy,Neutral,Neutral,Very easy
How difficult would it be to collect information on each section in football environment ?,Contextual information, Core set,Very easy,Easy,Difficult,Very easy,,Very easy,Neutral,,Easy,Very easy
How difficult would it be to collect information on each section in football environment ?,Contact type,Additional information,Very easy,Easy,,Very easy,,Very easy,Neutral,Very easy,Very easy,
How difficult would it be to collect information on each section in football environment ?,Physical activity,Additional information,Very easy,Easy,,Very easy,Very easy,Very easy,Neutral,Very easy,Easy,
How difficult would it be to collect information on each section in football environment ?,Ball situation,Additional information,Very easy,Easy,,Very easy,Neutral,Very easy,Neutral,Very easy,Neutral,
How difficult would it be to collect information on each section in football environment ?,Session detail,Additional information,Easy,Very easy,,Very easy,Very easy,Very easy,Neutral,Easy,Neutral,
How difficult would it be to collect information on each section in football environment ?,Contextual information,Additional information,Neutral,Easy,,Very easy,Easy,Very easy,Difficult,Easy,Easy,
How difficult would implementing the system in research environment be?,Contact type, Core set,Very easy,Easy,Easy,Very easy,Very easy,Very easy,Easy,,Very easy,Easy
How difficult would implementing the system in research environment be?,Physical activity, Core set,Very easy,Easy,Easy,Very easy,Very easy,Very easy,Easy,,Very easy,Neutral
How difficult would implementing the system in research environment be?,Ball situation, Core set,Very easy,Easy,Easy,Very easy,Easy,Very easy,Easy,,Easy,Very easy
How difficult would implementing the system in research environment be?,Session detail, Core set,Very easy,Easy,Neutral,Very easy,Easy,Very easy,Neutral,,Easy,Very easy
How difficult would implementing the system in research environment be?,Contextual information, Core set,Very easy,Easy,Neutral,Very easy,,Very easy,Difficult,,Very easy,Very easy
How difficult would implementing the system in research environment be?,Contact type,Additional information,Very easy,Easy,,Very easy,,Very easy,Neutral,,Very easy,
How difficult would implementing the system in research environment be?,Physical activity,Additional information,Very easy,Easy,,Very easy,Very easy,Very easy,Neutral,,Very easy,
How difficult would implementing the system in research environment be?,Ball situation,Additional information,Very easy,Easy,,Very easy,Easy,Very easy,Neutral,,Easy,
How difficult would implementing the system in research environment be?,Session detail,Additional information,Very easy,Easy,,Very easy,Easy,Very easy,Neutral,,Easy,
How difficult would implementing the system in research environment be?,Contextual information,Additional information,Very easy,Easy,,Very easy,Neutral,Very easy,Difficult,,Very easy,
